,Cluster Index,Voxels,MAX,MAX X (mm),MAX Y (mm),MAX Z (mm),COG X (mm),COG Y (mm),COG Z (mm),zstat,stat_type
376,4,107,5.23,-36,14,6,-32.6,18.7,7.86,28,activation
377,4,1694,5.79,32,-72,-38,28.8,-74,-35.4,28,deactivation
378,5,126,4.89,10,-18,12,11.7,-17.2,12.3,28,activation
379,5,33032,6.01,18,34,2,-5.15,-3.23,17.4,28,deactivation
380,6,128,4.84,-8,-18,14,-11,-18.2,9.19,28,activation
381,7,140,6.55,64,-44,22,62.7,-41.6,25.3,28,activation
382,8,178,5.6,-12,-46,-44,-13.2,-49.5,-48.9,28,activation
383,9,497,6.57,30,-6,56,31.8,-4.66,62.2,28,activation
384,1,73,5.6,30,-78,-6,29.3,-79.5,-7.58,29,activation
385,1,86,4.27,44,-68,-18,40.2,-66.9,-22.1,29,deactivation
386,10,2084,7.42,44,-30,48,39.6,-41.2,46.3,29,activation
387,10,367,4.84,-60,-42,-6,-48.7,-59.8,-14.7,29,deactivation
388,11,13379,7.61,6,10,62,-4.09,-5.6,38.9,29,activation
389,11,462,5.27,-44,-72,40,-43.1,-65.6,41.8,29,deactivation
390,12,6189,6.73,0,-58,20,0.979,-60.8,22.8,29,deactivation
391,2,80,5.09,-12,-52,-52,-9.32,-54.7,-54,29,activation
392,2,99,4.61,26,12,-2,15,12.6,-7.31,29,deactivation
393,3,108,5.25,-10,2,16,-7.87,6.34,11.4,29,activation
394,3,101,4.85,60,-4,-10,61.5,-3.17,-3.17,29,deactivation
395,4,137,5.3,8,12,8,9.77,5.46,12.6,29,activation
396,4,108,4.75,-22,-20,-14,-21.4,-15.5,-16.2,29,deactivation
397,5,194,4.88,-30,-52,-26,-30.5,-53.9,-28.8,29,activation
398,5,114,4.59,24,-16,-16,23.3,-12.5,-17.4,29,deactivation
399,6,596,4.84,12,-50,-18,10.7,-57.8,-18.9,29,activation
400,6,150,5.42,54,-62,32,45.7,-67.4,38.4,29,deactivation
401,7,631,5.86,18,-94,18,25.1,-61.2,18.3,29,activation
402,7,182,5.32,-20,12,-10,-18.8,10.6,-1.74,29,deactivation
403,8,673,5.79,4,-30,-4,2.41,-24.8,-7.45,29,activation
404,8,184,4.75,2,56,-6,0.1,59.4,1.67,29,deactivation
405,9,768,6.33,28,52,24,32.2,40.1,30.7,29,activation
406,9,257,5.87,-60,-34,6,-59.9,-37.6,7.95,29,deactivation
407,1,85,4.38,44,-68,-18,40.3,-66.8,-22.1,30,activation
408,1,73,5.34,30,-78,-6,29.3,-79.5,-7.59,30,deactivation
409,10,366,4.92,-60,-42,-6,-48.7,-59.8,-14.7,30,activation
410,10,2088,7.59,44,-30,48,39.6,-41.2,46.3,30,deactivation
411,11,462,5.25,-44,-72,40,-43.1,-65.5,41.8,30,activation
412,11,13389,7.66,6,10,62,-4.09,-5.63,38.9,30,deactivation
413,12,6183,6.78,0,-58,20,0.991,-60.9,22.8,30,activation
414,2,97,4.79,60,-6,-8,61.4,-3.02,-3.44,30,activation
415,2,80,5.08,-12,-52,-52,-9.32,-54.8,-54,30,deactivation
416,3,100,4.69,26,12,-2,15.1,12.6,-7.2,30,activation
417,3,106,5.3,-10,2,16,-7.94,6.36,11.3,30,deactivation
418,4,108,4.72,-24,-18,-16,-21.4,-15.5,-16.2,30,activation
419,4,138,5.3,8,12,8,9.77,5.44,12.6,30,deactivation
420,5,114,4.77,24,-16,-16,23.3,-12.5,-17.4,30,activation
421,5,194,4.72,-30,-52,-26,-30.5,-53.9,-28.9,30,deactivation
422,6,151,5.54,54,-62,32,45.7,-67.4,38.4,30,activation
423,6,595,4.84,12,-50,-18,10.8,-57.8,-19,30,deactivation
424,7,183,5.25,-20,12,-10,-18.8,10.6,-1.72,30,activation
425,7,624,5.93,18,-94,18,25,-61,18,30,deactivation
426,8,185,4.78,2,56,-6,0.0681,59.4,1.72,30,activation
427,8,677,5.79,4,-30,-4,2.42,-24.7,-7.42,30,deactivation
428,9,258,5.89,-60,-34,6,-59.9,-37.7,7.97,30,activation
429,9,767,5.89,28,52,24,32.2,40.1,30.8,30,deactivation
430,1,92,6.03,-40,-16,44,-38.7,-17,39.6,31,activation
