ParticipantID,ROI,Cope number,Phase,Action,Regressor,Value
sub105,SN,20,pre,firstCheck,Constant,0.4515
sub105,SN,21,pre,firstForage,Constant,-0.095
sub105,SN,70,pre_plus_post,firstForage,Reward,0.08
sub105,SN,73,post,firstCheck,ThreatLevel,-0.3619
sub105,SN,74,pre_plus_post,firstCheck,ThreatLevel,-0.0323
sub105,SN,63,pre,firstForage_minus_firstCheck,Reward,0.1665
sub105,ACC,1,post,firstCheck,Constant,1.3026
sub105,ACC,2,post,firstCheck,TimeSinceLastCheck,-0.0529
sub105,ACC,3,post,firstCheck,Proximity,0.7053
sub105,ACC,4,post,firstCheck,Reward,-0.1838
sub105,ACC,5,post,firstForage,Constant,0.0565
sub105,ACC,6,post,firstForage,TimeSinceLastCheck,0.1873
sub105,ACC,7,post,firstForage,Proximity,1.5737
sub105,ACC,8,post,firstForage,Reward,-0.0601
sub105,ACC,9,post,Hide,Constant,-1.5552
sub105,ACC,10,post,Hide,TimeSinceLastCheck,-0.1744
sub105,ACC,11,post,Hide,Proximity,0.0222
sub105,ACC,12,post,Hide,Reward,-0.0654
sub105,ACC,14,pre,SuccessfulFirstCheck,ThreatLevel,0.6208
sub105,ACC,15,pre,firstCheck,Reward,-0.0401
sub105,ACC,16,pre,firstCheck,TimePressure,1.9583
sub105,ACC,18,pre,firstForage,Reward,0.0649
sub105,ACC,19,pre,firstForage,TimePressure,0.1611
sub105,ACC,20,pre,firstCheck,Constant,0.4138
sub105,ACC,21,pre,firstForage,Constant,-0.081
sub105,ACC,70,pre_plus_post,firstForage,Reward,-0.0151
sub105,ACC,73,post,firstCheck,ThreatLevel,-0.0866
sub105,ACC,74,pre_plus_post,firstCheck,ThreatLevel,0.3049
sub105,ACC,63,pre,firstForage_minus_firstCheck,Reward,0.0646
sub105,AI,1,post,firstCheck,Constant,2.0131
sub105,AI,2,post,firstCheck,TimeSinceLastCheck,0.6615
sub105,AI,3,post,firstCheck,Proximity,0.296
sub105,AI,4,post,firstCheck,Reward,-0.7293
sub105,AI,5,post,firstForage,Constant,-1.294
sub105,AI,6,post,firstForage,TimeSinceLastCheck,0.0831
sub105,AI,7,post,firstForage,Proximity,1.4676
sub105,AI,8,post,firstForage,Reward,-0.2384
sub105,AI,9,post,Hide,Constant,1.0646
sub105,AI,10,post,Hide,TimeSinceLastCheck,1.1616
sub105,AI,11,post,Hide,Proximity,-0.4764
sub105,AI,12,post,Hide,Reward,-0.0323
sub105,AI,14,pre,SuccessfulFirstCheck,ThreatLevel,0.0738
sub105,AI,15,pre,firstCheck,Reward,0.4701
sub105,AI,16,pre,firstCheck,TimePressure,2.2416
sub105,AI,18,pre,firstForage,Reward,-0.5773
sub105,AI,19,pre,firstForage,TimePressure,1.6273
sub105,AI,20,pre,firstCheck,Constant,0.5329
sub105,AI,21,pre,firstForage,Constant,-1.0122
sub105,AI,70,pre_plus_post,firstForage,Reward,-0.4972
sub105,AI,73,post,firstCheck,ThreatLevel,-0.2373
sub105,AI,74,pre_plus_post,firstCheck,ThreatLevel,-0.1516
sub105,AI,63,pre,firstForage_minus_firstCheck,Reward,-0.6601
sub105,Striatum,1,post,firstCheck,Constant,0.5308
sub105,Striatum,2,post,firstCheck,TimeSinceLastCheck,-0.4031
sub105,Striatum,3,post,firstCheck,Proximity,0.9945
sub105,Striatum,4,post,firstCheck,Reward,-0.1871
sub105,Striatum,5,post,firstForage,Constant,-0.6639
sub105,Striatum,6,post,firstForage,TimeSinceLastCheck,0.0625
sub105,Striatum,7,post,firstForage,Proximity,0.0917
sub105,Striatum,8,post,firstForage,Reward,0.6502
sub105,Striatum,9,post,Hide,Constant,-0.4457
sub105,Striatum,10,post,Hide,TimeSinceLastCheck,0.7537
sub105,Striatum,11,post,Hide,Proximity,-0.0339
sub105,Striatum,12,post,Hide,Reward,-0.1694
sub105,Striatum,14,pre,SuccessfulFirstCheck,ThreatLevel,0.4397
sub105,Striatum,15,pre,firstCheck,Reward,-0.0652
sub105,Striatum,16,pre,firstCheck,TimePressure,1.3763
sub105,Striatum,18,pre,firstForage,Reward,0.4365
sub105,Striatum,19,pre,firstForage,TimePressure,-0.5073
sub105,Striatum,20,pre,firstCheck,Constant,0.6639
sub105,Striatum,21,pre,firstForage,Constant,0.0426
sub105,Striatum,70,pre_plus_post,firstForage,Reward,0.7586
sub105,Striatum,73,post,firstCheck,ThreatLevel,-0.3503
sub105,Striatum,74,pre_plus_post,firstCheck,ThreatLevel,-0.0225
sub105,Striatum,63,pre,firstForage_minus_firstCheck,Reward,0.2781
sub105,PAG,1,post,firstCheck,Constant,0.1938
sub105,PAG,2,post,firstCheck,TimeSinceLastCheck,0.053
sub105,PAG,3,post,firstCheck,Proximity,-0.3864
sub105,PAG,4,post,firstCheck,Reward,0.7374
sub105,PAG,5,post,firstForage,Constant,-0.2248
sub105,PAG,6,post,firstForage,TimeSinceLastCheck,0.7758
sub105,PAG,7,post,firstForage,Proximity,1.0476
sub105,PAG,8,post,firstForage,Reward,-0.8643
sub105,PAG,9,post,Hide,Constant,-0.4721
sub105,PAG,10,post,Hide,TimeSinceLastCheck,-0.3097
sub105,PAG,11,post,Hide,Proximity,-0.6608
sub105,PAG,12,post,Hide,Reward,0.0544
